Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20201105,2910557.73,1,2910557.73
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20201106,2910557.73,1,2910557.73
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20201109,2910557.73,1,2910557.73
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
VMFXX,US9229063006,20201110,2910557.73,1,2910557.73
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201117,457,128.82,58870.74
IWV,US4642876894,20201117,484,212.84,103014.56
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201118,457,127.01,58043.57
IWV,US4642876894,20201118,3284,210.56,691479.04
PFE,US7170811035,20201118,2350,36.32,85352
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201119,457,134.5,61466.5
IWV,US4642876894,20201119,5084,211.81,1076842.04
PFE,US7170811035,20201119,2350,36.19,85046.5
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201120,457,140.06,64007.42
IWV,US4642876894,20201120,8484,210.5,1785882
PFE,US7170811035,20201120,2350,36.7,86245
SFIX,US8608971078,20201120,-900,35.38,-31842
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201123,457,140.2,64071.4
IWV,US4642876894,20201123,10084,212.13,2139118.92
PFE,US7170811035,20201123,2350,36.52,85822
SFIX,US8608971078,20201123,-900,37.34,-33606
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201124,457,137.6,62883.2
IWV,US4642876894,20201124,11684,215.66,2519771.44
PFE,US7170811035,20201124,2350,36.6,86010
