,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
35,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240508,270,62.75,16942.5,46.085,46.085,12442.95,1.27,4499.55,Long,SUMMARY,,,,,,,,,,,0.0,0.0
36,U12702064,,,USD,1,STK,COMMON,CMG,CHIPOTLE MEXICAN GRILL INC,37655664,US1696561059,ISIN,169656105,US1696561059,BBG000QX74T1,NYSE,,,,,,US,1,,,,,20240508,12,3183.25,38199,2120.2,2120.2,25442.4,2.86,12756.6,Long,SUMMARY,,,,,,,,,,,0.0,0.0
37,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240508,80,944.81,75584.8,806.2125,806.2125,64497,5.66,11087.8,Long,SUMMARY,,,,,,,,,,,0.0,0.0
38,U12702064,,,USD,1,STK,COMMON,DRI,DARDEN RESTAURANTS INC,661440,US2371941053,ISIN,237194105,US2371941053,BBG000BBNYF6,NYSE,,,,,,US,1,,,,,20240508,246,147.98,36403.08,160.875,160.875,39575.25,2.73,-3172.17,Long,SUMMARY,,,,,,,,,,,0.0,0.0
39,U12702064,,,USD,1,STK,COMMON,GEF,GREIF INC-CL A,4812174,US3976241071,ISIN,397624107,US3976241071,BBG000BLFNC0,NYSE,,,,,,US,1,,,,,20240508,440,63.62,27992.8,63.375,63.375,27885,2.10,107.8,Long,SUMMARY,,,,,,,,,,,0.0,0.0
40,U12702064,,,USD,1,STK,ETF,IWV,ISHARES RUSSELL 3000 ETF,10205675,US4642876894,ISIN,464287689,US4642876894,BBG000BWDVW8,ARCA,,,,,,US,1,,,,,20240508,2242,295.77,663116.34,251.129061998,251.129061998,563031.357,49.65,100084.983,Long,SUMMARY,,,,,,,,,,,0.0,0.0
41,U12702064,,,USD,1,STK,COMMON,KLAC,KLA CORP,270957,US4824801009,ISIN,482480100,US4824801009,BBG000BMTFR4,NASDAQ,,,,,,US,1,,,,,20240508,49,717.15,35140.35,543.310096673,543.310096673,26622.194737,2.63,8518.155263,Long,SUMMARY,,,,,,,,,,,0.0,0.0
42,U12702064,,,USD,1,STK,COMMON,LULU,LULULEMON ATHLETICA INC,45157951,US5500211090,ISIN,550021109,US5500211090,BBG000R8ZVD1,NASDAQ,,,,,,CA,1,,,,,20240508,98,345.61,33869.78,384.980204082,384.980204082,37728.06,2.54,-3858.28,Long,SUMMARY,,,,,,,,,,,0.0,0.0
43,U12702064,,,USD,1,STK,COMMON,MELI,MERCADOLIBRE INC,45602025,US58733R1023,ISIN,58733R102,US58733R1023,BBG000GQPB11,NASDAQ,,,,,,UY,1,,,,,20240508,33,1716.78,56653.74,1529.78030303,1529.78030303,50482.75,4.24,6170.99,Long,SUMMARY,,,,,,,,,,,0.0,0.0
44,U12702064,,,USD,1,STK,COMMON,MP,MP MATERIALS CORP,455592408,US5533681012,ISIN,553368101,US5533681012,BBG00TJGL0F0,NYSE,,,,,,US,1,,,,,20240508,1235,15.64,19315.4,15.855,15.855,19580.925,1.45,-265.525,Long,SUMMARY,,,,,,,,,,,0.0,0.0
45,U12702064,,,USD,1,STK,COMMON,MTN,VAIL RESORTS INC,2586162,US91879Q1094,ISIN,91879Q109,US91879Q1094,BBG000BCMWM1,NYSE,,,,,,US,1,,,,,20240508,83,195.68,16241.44,216.622048193,216.622048193,17979.63,1.22,-1738.19,Long,SUMMARY,,,,,,,,,,,0.0,0.0
46,U12702064,,,USD,1,STK,COMMON,NFLX,NETFLIX INC,15124833,US64110L1061,ISIN,64110L106,US64110L1061,BBG000CL9VN6,NASDAQ,,,,,,US,1,,,,,20240508,78,609.47,47538.66,606.182820513,606.182820513,47282.26,3.56,256.4,Long,SUMMARY,,,,,,,,,,,0.0,0.0
47,U12702064,,,USD,1,STK,COMMON,RMD,RESMED INC,4817352,US7611521078,ISIN,761152107,US7611521078,BBG000L4M7F1,NYSE,,,,,,US,1,,,,,20240508,167,212.88,35550.96,184.980928144,184.980928144,30891.815,2.66,4659.145,Long,SUMMARY,,,,,,,,,,,0.0,0.0
48,U12702064,,,USD,1,STK,COMMON,RSG,REPUBLIC SERVICES INC,6478024,US7607591002,ISIN,760759100,US7607591002,BBG000BPXVJ6,NYSE,,,,,,US,1,,,,,20240508,247,187.33,46270.51,191.08,191.08,47196.76,3.46,-926.25,Long,SUMMARY,,,,,,,,,,,0.0,0.0
49,U12702064,,,USD,1,STK,ETF,VOO,VANGUARD S&P 500 ETF,136155102,US9229083632,ISIN,922908363,US9229083632,BBG0015VYNT4,ARCA,,,,,,US,1,,,,,20240508,343,475.42,163069.06,468.22,468.22,160599.46,12.21,2469.6,Long,SUMMARY,,,,,,,,,,,0.0,0.0
50,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
51,U12702064,,,USD,1,STK,COMMON,AAPL,APPLE INC,265598,US0378331005,ISIN,037833100,US0378331005,BBG000B9XRY4,NASDAQ,,,,,,US,1,,,,,20240509,130,184.57,23994.1,194.342692308,194.342692308,25264.55,1.79,-1270.45,Long,SUMMARY,,,,,,,,,,,0.0,0.0
52,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240509,270,63.32,17096.4,46.085,46.085,12442.95,1.27,4653.45,Long,SUMMARY,,,,,,,,,,,0.0,0.0
53,U12702064,,,USD,1,STK,COMMON,CMG,CHIPOTLE MEXICAN GRILL INC,37655664,US1696561059,ISIN,169656105,US1696561059,BBG000QX74T1,NYSE,,,,,,US,1,,,,,20240509,12,3232.97,38795.64,2120.2,2120.2,25442.4,2.89,13353.24,Long,SUMMARY,,,,,,,,,,,0.0,0.0
54,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240509,80,947.6,75808,806.2125,806.2125,64497,5.64,11311,Long,SUMMARY,,,,,,,,,,,0.0,0.0
55,U12702064,,,USD,1,STK,COMMON,DRI,DARDEN RESTAURANTS INC,661440,US2371941053,ISIN,237194105,US2371941053,BBG000BBNYF6,NYSE,,,,,,US,1,,,,,20240509,246,146.92,36142.32,160.875,160.875,39575.25,2.69,-3432.93,Long,SUMMARY,,,,,,,,,,,0.0,0.0
56,U12702064,,,USD,1,STK,COMMON,GEF,GREIF INC-CL A,4812174,US3976241071,ISIN,397624107,US3976241071,BBG000BLFNC0,NYSE,,,,,,US,1,,,,,20240509,440,64.5,28380,63.375,63.375,27885,2.11,495,Long,SUMMARY,,,,,,,,,,,0.0,0.0
57,U12702064,,,USD,1,STK,ETF,IWV,ISHARES RUSSELL 3000 ETF,10205675,US4642876894,ISIN,464287689,US4642876894,BBG000BWDVW8,ARCA,,,,,,US,1,,,,,20240509,2242,297.58,667174.36,251.129061998,251.129061998,563031.357,49.65,104143.003,Long,SUMMARY,,,,,,,,,,,0.0,0.0
58,U12702064,,,USD,1,STK,COMMON,KLAC,KLA CORP,270957,US4824801009,ISIN,482480100,US4824801009,BBG000BMTFR4,NASDAQ,,,,,,US,1,,,,,20240509,49,710.67,34822.83,543.310096673,543.310096673,26622.194737,2.59,8200.635263,Long,SUMMARY,,,,,,,,,,,0.0,0.0
59,U12702064,,,USD,1,STK,COMMON,LULU,LULULEMON ATHLETICA INC,45157951,US5500211090,ISIN,550021109,US5500211090,BBG000R8ZVD1,NASDAQ,,,,,,CA,1,,,,,20240509,98,352.95,34589.1,384.980204082,384.980204082,37728.06,2.57,-3138.96,Long,SUMMARY,,,,,,,,,,,0.0,0.0
60,U12702064,,,USD,1,STK,COMMON,MELI,MERCADOLIBRE INC,45602025,US58733R1023,ISIN,58733R102,US58733R1023,BBG000GQPB11,NASDAQ,,,,,,UY,1,,,,,20240509,33,1695.4,55948.2,1529.78030303,1529.78030303,50482.75,4.16,5465.45,Long,SUMMARY,,,,,,,,,,,0.0,0.0
61,U12702064,,,USD,1,STK,COMMON,MP,MP MATERIALS CORP,455592408,US5533681012,ISIN,553368101,US5533681012,BBG00TJGL0F0,NYSE,,,,,,US,1,,,,,20240509,1235,16.32,20155.2,15.855,15.855,19580.925,1.50,574.275,Long,SUMMARY,,,,,,,,,,,0.0,0.0
62,U12702064,,,USD,1,STK,COMMON,MTN,VAIL RESORTS INC,2586162,US91879Q1094,ISIN,91879Q109,US91879Q1094,BBG000BCMWM1,NYSE,,,,,,US,1,,,,,20240509,83,196.37,16298.71,216.622048193,216.622048193,17979.63,1.21,-1680.92,Long,SUMMARY,,,,,,,,,,,0.0,0.0
63,U12702064,,,USD,1,STK,COMMON,NFLX,NETFLIX INC,15124833,US64110L1061,ISIN,64110L106,US64110L1061,BBG000CL9VN6,NASDAQ,,,,,,US,1,,,,,20240509,78,612.09,47743.02,606.182820513,606.182820513,47282.26,3.55,460.76,Long,SUMMARY,,,,,,,,,,,0.0,0.0
64,U12702064,,,USD,1,STK,COMMON,RMD,RESMED INC,4817352,US7611521078,ISIN,761152107,US7611521078,BBG000L4M7F1,NYSE,,,,,,US,1,,,,,20240509,167,216.84,36212.28,184.980928144,184.980928144,30891.815,2.70,5320.465,Long,SUMMARY,,,,,,,,,,,0.0,0.0
65,U12702064,,,USD,1,STK,COMMON,RSG,REPUBLIC SERVICES INC,6478024,US7607591002,ISIN,760759100,US7607591002,BBG000BPXVJ6,NYSE,,,,,,US,1,,,,,20240509,247,188.13,46468.11,191.08,191.08,47196.76,3.46,-728.65,Long,SUMMARY,,,,,,,,,,,0.0,0.0
66,U12702064,,,USD,1,STK,ETF,VOO,VANGUARD S&P 500 ETF,136155102,US9229083632,ISIN,922908363,US9229083632,BBG0015VYNT4,ARCA,,,,,,US,1,,,,,20240509,343,478.15,164005.45,468.22,468.22,160599.46,12.21,3405.99,Long,SUMMARY,,,,,,,,,,,0.0,0.0
67,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
68,U12702064,,,USD,1,STK,COMMON,AAPL,APPLE INC,265598,US0378331005,ISIN,037833100,US0378331005,BBG000B9XRY4,NASDAQ,,,,,,US,1,,,,,20240510,130,183.05,23796.5,194.342692308,194.342692308,25264.55,1.77,-1468.05,Long,SUMMARY,,,,,,,,,,,0.0,0.0
69,U12702064,,,USD,1,STK,COMMON,C,CITIGROUP INC,87335484,US1729674242,ISIN,172967424,US1729674242,BBG000FY4S11,NYSE,,,,,,US,1,,,,,20240510,270,63.53,17153.1,46.085,46.085,12442.95,1.28,4710.15,Long,SUMMARY,,,,,,,,,,,0.0,0.0
70,U12702064,,,USD,1,STK,COMMON,CMG,CHIPOTLE MEXICAN GRILL INC,37655664,US1696561059,ISIN,169656105,US1696561059,BBG000QX74T1,NYSE,,,,,,US,1,,,,,20240510,12,3239.23,38870.76,2120.2,2120.2,25442.4,2.89,13428.36,Long,SUMMARY,,,,,,,,,,,0.0,0.0
71,U12702064,,,USD,1,STK,COMMON,COKE,COCA-COLA CONSOLIDATED INC,267892,US1910981026,ISIN,191098102,US1910981026,BBG000BG1SX2,NASDAQ,,,,,,US,1,,,,,20240510,80,952.1,76168,806.2125,806.2125,64497,5.67,11671,Long,SUMMARY,,,,,,,,,,,0.0,0.0
